match_day, standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
1,17,1,4,1,1,1,0,1,0,1,1,1,1,2,1,0,1,0,1,0,1,1,1,1,2,1,0,1,0,1,0,1,0,1,0,0,1,0
1,18,1,11,1,1,1,0,1,0,1,1,1,0,2,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,2,1,0
1,19,1,20,1,1,1,0,1,0,1,1,1,0,4,1,0,1,0,1,0,1,1,1,0,4,1,0,1,0,1,0,1,0,1,0,0,1,0
1,20,1,26,1,1,1,0,1,0,1,1,1,0,4,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,4,1,0

2,1,2,16,2,2,2,2,2,0,2,0,2,7,2,2,6,2,1,2,0,2,0,2,4,0,2,3,2,1,2,0,2,0,2,3,2,2,3
2,2,2,17,2,2,2,2,2,0,2,0,2,5,1,2,6,2,1,2,0,2,0,2,3,0,2,3,2,1,2,0,2,0,2,2,1,2,3
2,3,2,31,2,2,2,2,2,0,2,0,2,4,1,2,6,2,1,2,0,2,0,2,2,0,2,3,2,1,2,0,2,0,2,2,1,2,3
2,4,2,15,2,2,2,1,2,1,2,0,2,3,1,2,4,2,0,2,1,2,0,2,1,1,2,1,2,1,2,0,2,0,2,2,0,2,3
2,5,2,2,2,2,2,1,2,1,2,0,2,3,1,2,4,2,1,2,0,2,0,2,3,1,2,3,2,0,2,1,2,0,2,0,0,2,1
2,6,2,9,2,2,2,1,2,1,2,0,2,2,1,2,4,2,1,2,0,2,0,2,2,1,2,3,2,0,2,1,2,0,2,0,0,2,1
2,7,2,18,2,2,2,1,2,1,2,0,2,1,0,2,4,2,0,2,1,2,0,2,0,0,2,1,2,1,2,0,2,0,2,1,0,2,3
2,8,2,6,2,2,2,1,2,0,2,1,2,6,3,2,3,2,0,2,0,2,1,2,2,3,2,0,2,1,2,0,2,0,2,4,0,2,3
2,9,2,27,2,2,2,1,2,0,2,1,2,2,3,2,3,2,1,2,0,2,0,2,2,0,2,3,2,0,2,0,2,1,2,0,3,2,0
2,10,2,20,2,2,2,1,2,0,2,1,2,1,4,2,3,2,0,2,0,2,1,2,0,4,2,0,2,1,2,0,2,0,2,1,0,2,3
2,11,2,19,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,1,2,0,2,1,1,2,1,2,0,2,1,2,0,2,1,1,2,1
2,12,2,30,2,2,2,0,2,2,2,0,2,1,1,2,2,2,0,2,1,2,0,2,1,1,2,1,2,0,2,1,2,0,2,0,0,2,1
2,13,2,24,2,2,2,0,2,2,2,0,2,1,1,2,2,2,0,2,1,2,0,2,0,0,2,1,2,0,2,1,2,0,2,1,1,2,1
2,14,2,25,2,2,2,0,2,1,2,1,2,1,2,2,1,2,0,2,0,2,1,2,0,1,2,0,2,0,2,1,2,0,2,1,1,2,1
2,15,2,12,2,2,2,0,2,1,2,1,2,0,2,2,1,2,0,2,1,2,0,2,0,0,2,1,2,0,2,0,2,1,2,0,2,2,0
2,16,2,1,2,2,2,0,2,1,2,1,2,0,2,2,1,2,0,2,0,2,1,2,0,2,2,0,2,0,2,1,2,0,2,0,0,2,1
2,17,2,26,2,2,2,0,2,1,2,1,2,0,4,2,1,2,0,2,1,2,0,2,0,0,2,1,2,0,2,0,2,1,2,0,4,2,0
2,18,2,28,2,2,2,0,2,0,2,2,2,2,4,2,0,2,0,2,0,2,1,2,1,2,2,0,2,0,2,0,2,1,2,1,2,2,0
2,19,2,4,2,2,2,0,2,0,2,2,2,2,5,2,0,2,0,2,0,2,1,2,1,2,2,0,2,0,2,0,2,1,2,1,3,2,0
2,20,2,11,2,2,2,0,2,0,2,2,2,0,3,2,0,2,0,2,0,2,1,2,0,1,2,0,2,0,2,0,2,1,2,0,2,2,0

3,1,3,17,3,3,3,3,3,0,3,0,3,13,3,3,9,3,2,3,0,3,0,3,11,2,3,6,3,1,3,0,3,0,3,2,1,3,3
3,2,3,16,3,3,3,3,3,0,3,0,3,12,3,3,9,3,1,3,0,3,0,3,4,0,3,3,3,2,3,0,3,0,3,8,3,3,6
3,3,3,15,3,3,3,2,3,1,3,0,3,6,2,3,7,3,1,3,1,3,0,3,4,2,3,4,3,1,3,0,3,0,3,2,0,3,3
3,4,3,9,3,3,3,2,3,1,3,0,3,5,2,3,7,3,2,3,0,3,0,3,5,2,3,6,3,0,3,1,3,0,3,0,0,3,1
3,5,3,31,3,3,3,2,3,1,3,0,3,4,1,3,7,3,1,3,0,3,0,3,2,0,3,3,3,1,3,1,3,0,3,2,1,3,4
3,6,3,18,3,3,3,2,3,1,3,0,3,3,1,3,7,3,1,3,1,3,0,3,2,1,3,4,3,1,3,0,3,0,3,1,0,3,3
3,7,3,2,3,3,3,1,3,2,3,0,3,3,1,3,5,3,1,3,1,3,0,3,3,1,3,4,3,0,3,1,3,0,3,0,0,3,1
3,8,3,30,3,3,3,1,3,2,3,0,3,3,1,3,5,3,1,3,1,3,0,3,3,1,3,4,3,0,3,1,3,0,3,0,0,3,1
3,9,3,24,3,3,3,1,3,2,3,0,3,2,1,3,5,3,0,3,1,3,0,3,0,0,3,1,3,1,3,1,3,0,3,2,1,3,4
3,10,3,6,3,3,3,1,3,0,3,2,3,7,6,3,3,3,0,3,0,3,1,3,2,3,3,0,3,1,3,0,3,1,3,5,3,3,3
3,11,3,11,3,3,3,1,3,0,3,2,3,1,3,3,3,3,0,3,0,3,1,3,0,1,3,0,3,1,3,0,3,1,3,1,2,3,3
3,12,3,27,3,3,3,1,3,0,3,2,3,3,8,3,3,3,1,3,0,3,1,3,3,5,3,3,3,0,3,0,3,1,3,0,3,3,0
3,13,3,20,3,3,3,1,3,0,3,2,3,1,6,3,3,3,0,3,0,3,1,3,0,4,3,0,3,1,3,0,3,1,3,1,2,3,3
3,14,3,25,3,3,3,0,3,2,3,1,3,1,2,3,2,3,0,3,0,3,1,3,0,1,3,0,3,0,3,2,3,0,3,1,1,3,2
3,15,3,19,3,3,3,0,3,2,3,1,3,3,5,3,2,3,0,3,1,3,0,3,1,1,3,1,3,0,3,1,3,1,3,2,4,3,1
3,16,3,26,3,3,3,0,3,2,3,1,3,0,4,3,2,3,0,3,2,3,0,3,0,0,3,2,3,0,3,0,3,1,3,0,4,3,0
3,17,3,12,3,3,3,0,3,1,3,2,3,1,4,3,1,3,0,3,1,3,0,3,0,0,3,1,3,0,3,0,3,2,3,1,4,3,0
3,18,3,1,3,3,3,0,3,1,3,2,3,2,10,3,1,3,0,3,0,3,1,3,0,2,3,0,3,0,3,1,3,1,3,2,8,3,1
3,19,3,28,3,3,3,0,3,0,3,3,3,2,5,3,0,3,0,3,0,3,2,3,1,3,3,0,3,0,3,0,3,1,3,1,2,3,0
3,20,3,4,3,3,3,0,3,0,3,3,3,2,6,3,0,3,0,3,0,3,2,3,1,3,3,0,3,0,3,0,3,1,3,1,3,3,0

4,1,4,17,4,4,4,4,4,0,4,0,4,18,3,4,12,4,2,4,0,4,0,4,11,2,4,6,4,2,4,0,4,0,4,7,1,4,6
4,2,4,16,4,4,4,4,4,0,4,0,4,15,3,4,12,4,2,4,0,4,0,4,7,0,4,6,4,2,4,0,4,0,4,8,3,4,6
4,3,4,9,4,4,4,3,4,1,4,0,4,7,3,4,10,4,2,4,0,4,0,4,5,2,4,6,4,1,4,1,4,0,4,2,1,4,4
4,4,4,24,4,4,4,2,4,2,4,0,4,3,1,4,8,4,1,4,1,4,0,4,1,0,4,4,4,1,4,1,4,0,4,2,1,4,4
4,5,4,18,4,4,4,2,4,2,4,0,4,3,1,4,8,4,1,4,1,4,0,4,2,1,4,4,4,1,4,1,4,0,4,1,0,4,4
4,6,4,15,4,4,4,2,4,1,4,1,4,6,3,4,7,4,1,4,1,4,0,4,4,2,4,4,4,1,4,0,4,1,4,2,1,4,3
4,7,4,31,4,4,4,2,4,1,4,1,4,4,3,4,7,4,1,4,0,4,1,4,2,2,4,3,4,1,4,1,4,0,4,2,1,4,4
4,8,4,2,4,4,4,1,4,3,4,0,4,5,3,4,6,4,1,4,1,4,0,4,3,1,4,4,4,0,4,2,4,0,4,2,2,4,2
4,9,4,27,4,4,4,2,4,0,4,2,4,5,8,4,6,4,1,4,0,4,1,4,3,5,4,3,4,1,4,0,4,1,4,2,3,4,3
4,10,4,30,4,4,4,1,4,2,4,1,4,3,4,4,5,4,1,4,1,4,0,4,3,1,4,4,4,0,4,1,4,1,4,0,3,4,1
4,11,4,11,4,4,4,1,4,1,4,2,4,3,5,4,4,4,0,4,1,4,1,4,2,3,4,1,4,1,4,0,4,1,4,1,2,4,3
4,12,4,20,4,4,4,1,4,1,4,2,4,1,6,4,4,4,0,4,1,4,1,4,0,4,4,1,4,1,4,0,4,1,4,1,2,4,3
4,13,4,1,4,4,4,1,4,1,4,2,4,3,10,4,4,4,1,4,0,4,1,4,1,2,4,3,4,0,4,1,4,1,4,2,8,4,1
4,14,4,28,4,4,4,1,4,0,4,3,4,3,5,4,3,4,0,4,0,4,2,4,1,3,4,0,4,1,4,0,4,1,4,2,2,4,3
4,15,4,6,4,4,4,1,4,0,4,3,4,7,11,4,3,4,0,4,0,4,2,4,2,8,4,0,4,1,4,0,4,1,4,5,3,4,3
4,16,4,25,4,4,4,0,4,2,4,2,4,2,4,4,2,4,0,4,0,4,2,4,1,3,4,0,4,0,4,2,4,0,4,1,1,4,2
4,17,4,19,4,4,4,0,4,2,4,2,4,3,6,4,2,4,0,4,1,4,1,4,1,2,4,1,4,0,4,1,4,1,4,2,4,4,1
4,18,4,12,4,4,4,0,4,2,4,2,4,2,5,4,2,4,0,4,2,4,0,4,1,1,4,2,4,0,4,0,4,2,4,1,4,4,0
4,19,4,26,4,4,4,0,4,2,4,2,4,0,5,4,2,4,0,4,2,4,0,4,0,0,4,2,4,0,4,0,4,2,4,0,5,4,0
4,20,4,4,4,4,4,0,4,1,4,3,4,3,7,4,1,4,0,4,0,4,2,4,1,3,4,0,4,0,4,1,4,1,4,2,4,4,1

5,1,5,17,5,5,5,5,5,0,5,0,5,21,4,5,15,5,3,5,0,5,0,5,14,3,5,9,5,2,5,0,5,0,5,7,1,5,6
5,2,5,16,5,5,5,4,5,1,5,0,5,17,5,5,13,5,2,5,0,5,0,5,7,0,5,6,5,2,5,1,5,0,5,10,5,5,7
5,3,5,9,5,5,5,3,5,1,5,1,5,8,6,5,10,5,2,5,0,5,0,5,5,2,5,6,5,1,5,1,5,1,5,3,4,5,4
5,4,5,18,5,5,5,2,5,3,5,0,5,4,2,5,9,5,1,5,1,5,0,5,2,1,5,4,5,1,5,2,5,0,5,2,1,5,5
5,5,5,27,5,5,5,3,5,0,5,2,5,9,8,5,9,5,2,5,0,5,1,5,7,5,5,6,5,1,5,0,5,1,5,2,3,5,3
5,6,5,24,5,5,5,2,5,2,5,1,5,3,5,5,8,5,1,5,1,5,0,5,1,0,5,4,5,1,5,1,5,1,5,2,5,5,4
5,7,5,2,5,5,5,1,5,4,5,0,5,6,4,5,7,5,1,5,2,5,0,5,4,2,5,5,5,0,5,2,5,0,5,2,2,5,2
5,8,5,11,5,5,5,2,5,1,5,2,5,6,6,5,7,5,1,5,1,5,1,5,5,4,5,4,5,1,5,0,5,1,5,1,2,5,3
5,9,5,15,5,5,5,2,5,1,5,2,5,6,7,5,7,5,1,5,1,5,0,5,4,2,5,4,5,1,5,0,5,2,5,2,5,5,3
5,10,5,31,5,5,5,2,5,1,5,2,5,4,6,5,7,5,1,5,0,5,2,5,2,5,5,3,5,1,5,1,5,0,5,2,1,5,4
5,11,5,20,5,5,5,2,5,1,5,2,5,4,6,5,7,5,0,5,1,5,1,5,0,4,5,1,5,2,5,0,5,1,5,4,2,5,6
5,12,5,25,5,5,5,1,5,2,5,2,5,6,4,5,5,5,1,5,0,5,2,5,5,3,5,3,5,0,5,2,5,0,5,1,1,5,2
5,13,5,19,5,5,5,1,5,2,5,2,5,5,7,5,5,5,0,5,1,5,1,5,1,2,5,1,5,1,5,1,5,1,5,4,5,5,4
5,14,5,26,5,5,5,1,5,2,5,2,5,3,5,5,5,5,1,5,2,5,0,5,3,0,5,5,5,0,5,0,5,2,5,0,5,5,0
5,15,5,30,5,5,5,1,5,2,5,2,5,4,7,5,5,5,1,5,1,5,0,5,3,1,5,4,5,0,5,1,5,2,5,1,6,5,1
5,16,5,4,5,5,5,1,5,1,5,3,5,7,10,5,4,5,1,5,0,5,2,5,5,6,5,3,5,0,5,1,5,1,5,2,4,5,1
5,17,5,1,5,5,5,1,5,1,5,3,5,6,14,5,4,5,1,5,0,5,1,5,1,2,5,3,5,0,5,1,5,2,5,5,12,5,1
5,18,5,12,5,5,5,0,5,3,5,2,5,4,7,5,3,5,0,5,3,5,0,5,3,3,5,3,5,0,5,0,5,2,5,1,4,5,0
5,19,5,6,5,5,5,1,5,0,5,4,5,8,13,5,3,5,0,5,0,5,3,5,3,10,5,0,5,1,5,0,5,1,5,5,3,5,3
5,20,5,28,5,5,5,1,5,0,5,4,5,3,8,5,3,5,0,5,0,5,2,5,1,3,5,0,5,1,5,0,5,2,5,2,5,5,3

6,1,6,17,6,6,6,5,6,1,6,0,6,22,5,6,16,6,3,6,0,6,0,6,14,3,6,9,6,2,6,1,6,0,6,8,2,6,7
6,2,6,16,6,6,6,5,6,1,6,0,6,19,5,6,16,6,3,6,0,6,0,6,9,0,6,9,6,2,6,1,6,0,6,10,5,6,7
6,3,6,9,6,6,6,4,6,1,6,1,6,12,7,6,13,6,3,6,0,6,0,6,9,3,6,9,6,1,6,1,6,1,6,3,4,6,4
6,4,6,18,6,6,6,3,6,3,6,0,6,7,3,6,12,6,2,6,1,6,0,6,5,2,6,7,6,1,6,2,6,0,6,2,1,6,5
6,5,6,27,6,6,6,4,6,0,6,2,6,11,9,6,12,6,2,6,0,6,1,6,7,5,6,6,6,2,6,0,6,1,6,4,4,6,6
6,6,6,15,6,6,6,3,6,1,6,2,6,8,8,6,10,6,2,6,1,6,0,6,6,3,6,7,6,1,6,0,6,2,6,2,5,6,3
6,7,6,24,6,6,6,2,6,3,6,1,6,4,6,6,9,6,1,6,2,6,0,6,2,1,6,5,6,1,6,1,6,1,6,2,5,6,4
6,8,6,2,6,6,6,1,6,5,6,0,6,7,5,6,8,6,1,6,2,6,0,6,4,2,6,5,6,0,6,3,6,0,6,3,3,6,3
6,9,6,19,6,6,6,2,6,2,6,2,6,7,8,6,8,6,1,6,1,6,1,6,3,3,6,4,6,1,6,1,6,1,6,4,5,6,4
6,10,6,20,6,6,6,2,6,2,6,2,6,5,7,6,8,6,0,6,2,6,1,6,1,5,6,2,6,2,6,0,6,1,6,4,2,6,6
6,11,6,11,6,6,6,2,6,1,6,3,6,6,8,6,7,6,1,6,1,6,1,6,5,4,6,4,6,1,6,0,6,2,6,1,4,6,3
6,12,6,31,6,6,6,2,6,1,6,3,6,5,8,6,7,6,1,6,0,6,2,6,2,5,6,3,6,1,6,1,6,1,6,3,3,6,4
6,13,6,1,6,6,6,2,6,1,6,3,6,9,14,6,7,6,2,6,0,6,1,6,4,2,6,6,6,0,6,1,6,2,6,5,12,6,1
6,14,6,25,6,6,6,1,6,2,6,3,6,7,6,6,5,6,1,6,0,6,2,6,5,3,6,3,6,0,6,2,6,1,6,2,3,6,2
6,15,6,30,6,6,6,1,6,2,6,3,6,5,9,6,5,6,1,6,1,6,1,6,4,3,6,4,6,0,6,1,6,2,6,1,6,6,1
6,16,6,26,6,6,6,1,6,2,6,3,6,4,9,6,5,6,1,6,2,6,0,6,3,0,6,5,6,0,6,0,6,3,6,1,9,6,0
6,17,6,12,6,6,6,0,6,4,6,2,6,4,7,6,4,6,0,6,3,6,0,6,3,3,6,3,6,0,6,1,6,2,6,1,4,6,1
6,18,6,4,6,6,6,1,6,1,6,4,6,8,13,6,4,6,1,6,0,6,2,6,5,6,6,3,6,0,6,1,6,2,6,3,7,6,1
6,19,6,28,6,6,6,1,6,1,6,4,6,3,8,6,4,6,0,6,1,6,2,6,1,3,6,1,6,1,6,0,6,2,6,2,5,6,3
6,20,6,6,6,6,6,1,6,0,6,5,6,8,16,6,3,6,0,6,0,6,3,6,3,10,6,0,6,1,6,0,6,2,6,5,6,6,3

7,1,7,17,7,7,7,6,7,1,7,0,7,24,5,7,19,7,4,7,0,7,0,7,16,3,7,12,7,2,7,1,7,0,7,8,2,7,7
7,2,7,16,7,7,7,6,7,1,7,0,7,23,5,7,19,7,3,7,0,7,0,7,9,0,7,9,7,3,7,1,7,0,7,14,5,7,10
7,3,7,9,7,7,7,5,7,1,7,1,7,17,8,7,16,7,3,7,0,7,0,7,9,3,7,9,7,2,7,1,7,1,7,8,5,7,7
7,4,7,18,7,7,7,4,7,3,7,0,7,9,4,7,15,7,2,7,1,7,0,7,5,2,7,7,7,2,7,2,7,0,7,4,2,7,8
7,5,7,27,7,7,7,5,7,0,7,2,7,13,10,7,15,7,3,7,0,7,1,7,9,6,7,9,7,2,7,0,7,1,7,4,4,7,6
7,6,7,15,7,7,7,4,7,1,7,2,7,10,8,7,13,7,2,7,1,7,0,7,6,3,7,7,7,2,7,0,7,2,7,4,5,7,6
7,7,7,2,7,7,7,2,7,5,7,0,7,9,5,7,11,7,2,7,2,7,0,7,6,2,7,8,7,0,7,3,7,0,7,3,3,7,3
7,8,7,24,7,7,7,2,7,3,7,2,7,4,8,7,9,7,1,7,2,7,0,7,2,1,7,5,7,1,7,1,7,2,7,2,7,7,4
7,9,7,19,7,7,7,2,7,2,7,3,7,7,10,7,8,7,1,7,1,7,1,7,3,3,7,4,7,1,7,1,7,2,7,4,7,7,4
7,10,7,26,7,7,7,2,7,2,7,3,7,6,9,7,8,7,2,7,2,7,0,7,5,0,7,8,7,0,7,0,7,3,7,1,9,7,0
7,11,7,20,7,7,7,2,7,2,7,3,7,5,13,7,8,7,0,7,2,7,1,7,1,5,7,2,7,2,7,0,7,2,7,4,8,7,6
7,12,7,12,7,7,7,1,7,4,7,2,7,10,7,7,7,7,1,7,3,7,0,7,9,3,7,6,7,0,7,1,7,2,7,1,4,7,1
7,13,7,31,7,7,7,2,7,1,7,4,7,6,10,7,7,7,1,7,0,7,3,7,3,7,7,3,7,1,7,1,7,1,7,3,3,7,4
7,14,7,11,7,7,7,2,7,1,7,4,7,6,10,7,7,7,1,7,1,7,2,7,5,6,7,4,7,1,7,0,7,2,7,1,4,7,3
7,15,7,1,7,7,7,2,7,1,7,4,7,10,16,7,7,7,2,7,0,7,1,7,4,2,7,6,7,0,7,1,7,3,7,6,14,7,1
7,16,7,25,7,7,7,1,7,3,7,3,7,9,8,7,6,7,1,7,1,7,2,7,7,5,7,4,7,0,7,2,7,1,7,2,3,7,2
7,17,7,28,7,7,7,1,7,2,7,4,7,5,10,7,5,7,0,7,1,7,2,7,1,3,7,1,7,1,7,1,7,2,7,4,7,7,4
7,18,7,30,7,7,7,1,7,2,7,4,7,5,11,7,5,7,1,7,1,7,1,7,4,3,7,4,7,0,7,1,7,3,7,1,8,7,1
7,19,7,4,7,7,7,1,7,1,7,5,7,8,17,7,4,7,1,7,0,7,3,7,5,10,7,3,7,0,7,1,7,2,7,3,7,7,1
7,20,7,6,7,7,7,1,7,0,7,6,7,9,21,7,3,7,0,7,0,7,4,7,4,15,7,0,7,1,7,0,7,2,7,5,6,7,3

8,1,8,16,8,8,8,7,8,1,8,0,8,27,6,8,22,8,4,8,0,8,0,8,13,1,8,12,8,3,8,1,8,0,8,14,5,8,10
8,2,8,17,8,8,8,6,8,2,8,0,8,25,6,8,20,8,4,8,0,8,0,8,16,3,8,12,8,2,8,2,8,0,8,9,3,8,8
8,3,8,9,8,8,8,6,8,1,8,1,8,20,9,8,19,8,4,8,0,8,0,8,12,4,8,12,8,2,8,1,8,1,8,8,5,8,7
8,4,8,18,8,8,8,4,8,4,8,0,8,11,6,8,16,8,2,8,2,8,0,8,7,4,8,8,8,2,8,2,8,0,8,4,2,8,8
8,5,8,27,8,8,8,5,8,1,8,2,8,15,12,8,16,8,3,8,0,8,1,8,9,6,8,9,8,2,8,1,8,1,8,6,6,8,7
8,6,8,15,8,8,8,4,8,2,8,2,8,11,9,8,14,8,2,8,2,8,0,8,7,4,8,8,8,2,8,0,8,2,8,4,5,8,6
8,7,8,24,8,8,8,3,8,3,8,2,8,6,8,8,12,8,2,8,2,8,0,8,4,1,8,8,8,1,8,1,8,2,8,2,7,8,4
8,8,8,2,8,8,8,2,8,5,8,1,8,10,9,8,11,8,2,8,2,8,0,8,6,2,8,8,8,0,8,3,8,1,8,4,7,8,3
8,9,8,19,8,8,8,3,8,2,8,3,8,10,11,8,11,8,2,8,1,8,1,8,6,4,8,7,8,1,8,1,8,2,8,4,7,8,4
8,10,8,1,8,8,8,3,8,1,8,4,8,12,17,8,10,8,3,8,0,8,1,8,6,3,8,9,8,0,8,1,8,3,8,6,14,8,1
8,11,8,20,8,8,8,2,8,3,8,3,8,6,14,8,9,8,0,8,3,8,1,8,2,6,8,3,8,2,8,0,8,2,8,4,8,8,6
8,12,8,28,8,8,8,2,8,2,8,4,8,7,10,8,8,8,1,8,1,8,2,8,3,3,8,4,8,1,8,1,8,2,8,4,7,8,4
8,13,8,26,8,8,8,2,8,2,8,4,8,7,12,8,8,8,2,8,2,8,0,8,5,0,8,8,8,0,8,0,8,4,8,2,12,8,0
8,14,8,12,8,8,8,1,8,4,8,3,8,10,9,8,7,8,1,8,3,8,0,8,9,3,8,6,8,0,8,1,8,3,8,1,6,8,1
8,15,8,11,8,8,8,2,8,1,8,5,8,7,13,8,7,8,1,8,1,8,2,8,5,6,8,4,8,1,8,0,8,3,8,2,7,8,3
8,16,8,31,8,8,8,2,8,1,8,5,8,6,12,8,7,8,1,8,0,8,3,8,3,7,8,3,8,1,8,1,8,2,8,3,5,8,4
8,17,8,25,8,8,8,1,8,3,8,4,8,10,10,8,6,8,1,8,1,8,2,8,7,5,8,4,8,0,8,2,8,2,8,3,5,8,2
8,18,8,6,8,8,8,2,8,0,8,6,8,12,22,8,6,8,0,8,0,8,4,8,4,15,8,0,8,2,8,0,8,2,8,8,7,8,6
8,19,8,30,8,8,8,1,8,2,8,5,8,6,14,8,5,8,1,8,1,8,2,8,5,6,8,4,8,0,8,1,8,3,8,1,8,8,1
8,20,8,4,8,8,8,1,8,2,8,5,8,9,18,8,5,8,1,8,0,8,3,8,5,10,8,3,8,0,8,2,8,2,8,4,8,8,2

9,1,9,16,9,9,9,8,9,1,9,0,9,33,7,9,25,9,4,9,0,9,0,9,13,1,9,12,9,4,9,1,9,0,9,20,6,9,13
9,2,9,17,9,9,9,6,9,2,9,1,9,26,12,9,20,9,4,9,0,9,1,9,17,9,9,12,9,2,9,2,9,0,9,9,3,9,8
9,3,9,9,9,9,9,6,9,1,9,2,9,20,10,9,19,9,4,9,0,9,0,9,12,4,9,12,9,2,9,1,9,2,9,8,6,9,7
9,4,9,18,9,9,9,5,9,4,9,0,9,12,6,9,19,9,3,9,2,9,0,9,8,4,9,11,9,2,9,2,9,0,9,4,2,9,8
9,5,9,27,9,9,9,6,9,1,9,2,9,17,13,9,19,9,3,9,0,9,1,9,9,6,9,9,9,3,9,1,9,1,9,8,7,9,10
9,6,9,15,9,9,9,4,9,3,9,2,9,12,10,9,15,9,2,9,3,9,0,9,8,5,9,9,9,2,9,0,9,2,9,4,5,9,6
9,7,9,1,9,9,9,4,9,1,9,4,9,15,18,9,13,9,4,9,0,9,1,9,9,4,9,12,9,0,9,1,9,3,9,6,14,9,1
9,8,9,19,9,9,9,3,9,3,9,3,9,11,12,9,12,9,2,9,1,9,1,9,6,4,9,7,9,1,9,2,9,2,9,5,8,9,5
9,9,9,24,9,9,9,3,9,3,9,3,9,7,11,9,12,9,2,9,2,9,0,9,4,1,9,8,9,1,9,1,9,3,9,3,10,9,4
9,10,9,20,9,9,9,3,9,3,9,3,9,7,14,9,12,9,1,9,3,9,1,9,3,6,9,6,9,2,9,0,9,2,9,4,8,9,6
9,11,9,2,9,9,9,2,9,5,9,2,9,11,11,9,11,9,2,9,2,9,1,9,7,4,9,8,9,0,9,3,9,1,9,4,7,9,3
9,12,9,28,9,9,9,3,9,2,9,4,9,9,11,9,11,9,1,9,1,9,2,9,3,3,9,4,9,2,9,1,9,2,9,6,8,9,7
9,13,9,11,9,9,9,3,9,1,9,5,9,10,14,9,10,9,1,9,1,9,2,9,5,6,9,4,9,2,9,0,9,3,9,5,8,9,6
9,14,9,25,9,9,9,2,9,3,9,4,9,12,10,9,9,9,1,9,1,9,2,9,7,5,9,4,9,1,9,2,9,2,9,5,5,9,5
9,15,9,26,9,9,9,2,9,3,9,4,9,9,14,9,9,9,2,9,2,9,0,9,5,0,9,8,9,0,9,1,9,4,9,4,14,9,1
9,16,9,31,9,9,9,2,9,2,9,5,9,8,14,9,8,9,1,9,1,9,3,9,5,9,9,4,9,1,9,1,9,2,9,3,5,9,4
9,17,9,12,9,9,9,1,9,4,9,4,9,11,12,9,7,9,1,9,3,9,1,9,10,6,9,6,9,0,9,1,9,3,9,1,6,9,1
